company_name,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year, net_zero_status,net_zero_year,full_target_language,ba15_status,ba15_date ,target_classification_long,reason_for_extension_or_removal,Country,Country Code,Sector,CA100 Company?,Large/Medium Classification,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Juniper Networks,Northern America,Technology Hardware and Equipment,Targets set,1.5C,2030,Targets set,1.5C,2040,Targets set,2040,"Overall Net-Zero Target: Juniper Networks, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2040. Near-Term Targets: Juniper Networks commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2022 base year. Juniper Networks also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, upstream transportation and distribution and use of sold products 25% within the same timeframe. Long-Term Targets: Juniper Networks commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2040 from a 2022 base year. Juniper Networks commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Technology,No,medium,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,Yes
Keurig Dr Pepper,Northern America,Food and Beverage Processing,Targets set,1.5C,2030,,,,,,"Energy & Industry:
Keurig Dr Pepper commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by 2030
from a 2018 base year. Keurig Dr Pepper also commits to reduce absolute scope 3 GHG
emissions from purchased goods and services, fuel and energy related activities, upstream
transportation and distribution, and use of sold products 25% by 2030 from a 2022 base year.
FLAG:
Keurig Dr Pepper commits to reduce absolute scope 3 FLAG GHG emissions 30.3% by 2030
from a 2022 base year.* Keurig Dr Pepper also commits to no deforestation across its primary
deforestation-linked commodities, with a target date of December 31, 2025.
*The target includes FLAG emissions and removals.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,3/20/25,,,,,,,,,,,,,,,,,,,,,,,,,
Keurig Dr Pepper,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,large,5/4/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Keysight Technologies,Northern America,Technology Hardware and Equipment,Targets set,1.5C,2030,,,,,,"Keysight Technologies commits to reduce absolute scope 1 and 2 GHG emissions
42% by FY2030 from a FY2021 base year. Keysight Technologies also commits
that 73% of its customers by emissions covering use of sold products, will have
science-based targets by FY2028.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,11/9/23,,,,,,,,,,,,,,,,,,,,,,,,,
Keysight Technologies,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,medium,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Kimberly-Clark,Northern America,"Consumer Durables, Household and Personal Products",Targets set,Well-below 2C,2030,,,,,,Kimberly-Clark Corporation commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2015 base year. Kimberly-Clark Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and end of life treatment of sold products 20% by 2030 from a 2015 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,6/25/20,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly-Clark,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,large,2/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Kimberly-Clark,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,large,4/17/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
KLA Corporation,Northern America,Semiconductors and Semiconductors Equipment,Targets set,1.5C,2030,,,,,,"KLA Corporation commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2021 base year. KLA Corporation also commits to reduce scope 3 GHG emissions from use of sold products 52% per billion transistors inspected, measured, or processed within the same timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Technology,No,large,4/18/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Lamb Weston Holdings,Northern America,Food and Beverage Processing,Commitment removed,,,,,,,,,,,,Expired commitment,,,,,,5/27/21,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb Weston Holdings,Northern America,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,3/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Lamb Weston Holdings,Northern America,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,5/12/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Las Vegas Sands Corp,Northern America,"Hotels, Restaurants and Leisure, and Tourism Services",Targets set,Well-below 2C,2025,,,,,,Sands commits to reduce absolute scope 1 and 2 GHG emissions 17.5% by 2025 from a 2018 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,12/8/22,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas Sands,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
LKQ Corporation,Northern America,Retailing,Commitment removed,,,,,,Commitment removed,,,BA1.5 member,5/19/22 1:00,,Expired commitment,,,,,,5/19/22,,,,,,,,,,,,,,,,,,,,,,,,,
KLA Corporation,Northern America,,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,4/18/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Lowe's Companies,Northern America,Retailing,Committed,,,,,,Committed,,,BA1.5 member,4/28/22 1:00,,,,,,,,4/28/22,,,,,,,,,,,,,,,,,,,,,,,,,
Loblaw Companies,Northern America,,,,,,,,,,,,,,,Canada,CAN,Consumer Services,No,medium,4/30/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Loblaw Companies,Northern America,,,,,,,,,,,,,,,Canada,CAN,Consumer Services,No,medium,4/24/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No
Marriott International,Northern America,"Hotels, Restaurants and Leisure, and Tourism Services",Targets set,1.5C,2030,Targets set,1.5C,2050,Targets set,2050,"Overall Net-Zero Target: Marriott International, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: Marriott International commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2030 from a 2019 base year.* Marriott International also commits to reduce absolute scope 3 GHG emissions from fuel and energy-related activities, waste generated in operations, employee commuting, and franchises 27.5% within the same timeframe.* Marriott International commits that 22% of its suppliers by emissions covering purchased goods and services, capital goods, and upstream transportation and distribution will have science-based targets by 2028.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks. Long-Term Targets: Marriott International commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2019 base year.* Marriott International commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.*
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.",BA1.5 member,9/23/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Consumer Services,No,large,3/5/24,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Martin Marietta Materials,Northern America,Construction Materials,Committed,,,,,,,,,,,,,,,,,,11/23/23,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Marietta Materials,Northern America,,,,,,,,,,,,,,,United States of America,USA,Cement,Yes,medium,4/30/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Martin Marietta Materials,Northern America,,,,,,,,,,,,,,,United States of America,USA,Cement,Yes,medium,4/17/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
McKesson Corporation,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,FY2032,,,,,,McKesson commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by FY2032 from a FY2020 base year. McKesson commits that 70% of its suppliers by spend covering purchased goods and services will have science_x0002_based targets by FY2027,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,1/19/23,,,,,,,,,,,,,,,,,,,,,,,,,
Metso Corporation,Europe,,,,,,,,,,,,,,,Finland,FIN,Industrials,No,medium,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
"MetLife, Inc.",Northern America,"Banks, Diverse Financials, Insurance",Committed,,,,,,,,,,,,FINZ extension policy,,,,,,4/20/16,,,,,,,,,,,,,,,,,,,,,,,,,
Metlife,Northern America,,,,,,,,,,,,,,,United States of America,USA,Financials,No,large,3/5/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
MGM Resorts International,Northern America,"Hotels, Restaurants and Leisure, and Tourism Services",Targets set,1.5C,2030,,,,,,"MGM Resorts International commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year. MGM also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel-and energy-related activities, waste generated in operations, and employee commuting 30% within the same timeframe.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,5/4/23,,,,,,,,,,,,,,,,,,,,,,,,,
MGM Resorts International,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,4/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Minerals Technologies,Northern America,Chemicals,Committed,,,,,,,,,,,,,United States of America,USA,Chemicals,No,small,4/19/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Moderna,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2030,Targets set,1.5C,2045,Targets set,2045,"Overall Net-Zero Target: Moderna, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2045. Near-Term Targets: Moderna, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2030 from a 2021 base year. Moderna, Inc. commits that 85% of its suppliers by emissions covering purchased goods and services, capital goods and upstream transportation and distribution, will have science-based targets by 2028. Long-Term Targets: Moderna, Inc. commits to maintain a minimum of 90% absolute scopes 1 and 2 GHG emissions from 2030 through 2045 from a 2021 base year. Moderna, Inc. also commits to reduce absolute scope 3 GHG emissions emissions 90% by 2045 from a 2021 base year. ",BA1.5 member,6/16/22 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,1/9/25,,,,,,,,,,,,,,,,,,,,,,,,,
Moderna,Northern America,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,large,3/20/24,1,new,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
NetApp,Northern America,Software and Services,Targets set,1.5C,2030,,,,,,"Near-Term Targets: NetApp, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50.8% by FY2030 from a FY2020 base year. NetApp, Inc. also commits to reduce scope 3 GHG emissions from use of sold products 51.6% per effective petabytes shipped by FY2030 from a FY2023 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,1/16/25,,,,,,,,,,,,,,,,,,,,,,,,,
NetApp,Northern America,,,,,,,,,,,,,,,United States of America,USA,Technology,No,medium,1/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No
Netflix,Northern America,Media,Targets set,1.5C,2030,,,,Commitment removed,,Netflix commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2030 from a 2019 base year. Netflix also commits to reduce scope 3 GHG emissions 55% per million USD of value added within the same timeframe.,BA1.5 member,3/31/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,,,,,,3/30/23,,,,,,,,,,,,,,,,,,,,,,,,,
Netflix,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,4/30/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Newmont Corporation,Northern America,"Mining - Other (Rare Minerals, Precious Metals and Gems)",Targets set,Well-below 2C,2030,,,,,,Newmont commits to reduce absolute scope 1 and 2 GHG emissions 32% by 2030 from a 2018 base year. Newmont also commits to reduce scope 1 and 2 GHG emissions 32% per Gold Equivalent Ounce (GEO) within the same timeframe. Newmont commits to reduce absolute scope 3 GHG emissions 30% by 2030 from a 2019 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,10/27/22,,,,,,,,,,,,,,,,,,,,,,,,,
Newmont Corporation,Northern America,,,,,,,,,,,,,,,United States of America,USA,Diversified Mining,No,large,4/18/24,5,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Newmont Corporation,Northern America,,,,,,,,,,,,,,,United States of America,USA,Diversified Mining,No,large,4/28/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Norfolk Southern,Northern America,Ground Transportation - Railroads Transportation,Targets set,Well-below 2C,2034,,,,,,Norfolk Southern commits to reduce scope 1 and 2 GHG emissions 42% per million gross ton-miles (MGTM) by 2034 from a 2019 base year*. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,7/29/21,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Southern,Northern America,,,Well-below 2C,,,,,,,,,,,,United States of America,USA,Industrials,No,large,3/5/24,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No
Norfolk Southern,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,large,5/5/23,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
NRG Energy,Northern America,"Electric Utilities and Independent Power Producers and Energy Traders (including Fossil, Alternative and Nuclear Energy)",Targets set,1.5C,2025,,,,Commitment removed,,"NRG Energy commits to reduce absolute scope 1, 2 and scope 3 business travel GHG emissions 50% by 2025 and 100% by 2050 from a 2014 base year.",BA1.5 member,9/1/19 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,,,,,,3/11/21,,,,,,,,,,,,,,,,,,,,,,,,,
NRG Energy,Northern America,,,,,,,,,,,,,,,United States of America,USA,Electricity Utilities,Yes,medium,4/5/24,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
NRG Energy,Northern America,,,,,,,,,,,,,,,United States of America,USA,Electricity Utilities,Yes,medium,3/15/23,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No
O-I Glass,Northern America,Containers and Packaging,Targets set,2C,2030,,,,,,"O-I Glass, Inc. commits to reduce absolute scope 1, 2 and 3 GHG emissions 25% by 2030 from a 2017 base year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C,,,,,,,3/5/20,,,,,,,,,,,,,,,,,,,,,,,,,
O-I Glass,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,4/29/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Omnicom Group,Northern America,Professional Services,Targets set,1.5C,2030,,,,,,"Omnicom Group commits to reduce absolute scope 1, 2, and 3 GHG
emissions 46.2% by 2030 from a 2019 base year.",BA1.5 member,10/1/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,6/15/23,,,,,,,,,,,,,,,,,,,,,,,,,
Omnicom Group,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,Yes
Onsemi,Northern America,Semiconductors and Semiconductors Equipment,Targets set,1.5C,2034,,,,,,"Near-Term Targets: onsemi commits to reduce absolute scope 1 and 2 GHG emissions 58.8% by 2034 from a 2022 base year. onsemi also commits to reduce absolute scope 3 GHG emissions  from fuel- and energy-related activities 35.0% within the same timeframe. onsemi commits that 71.3% of its suppliers by emissions covering purchased goods and services, capital goods and upstream transportation and distribution, will have science-based targets by 2029.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,1/9/25,,,,,,,,,,,,,,,,,,,,,,,,,
Onsemi,Northern America,,,,,,,,,,,,,,,United States of America,USA,Technology,No,medium,3/5/24,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Onsemi,Northern America,,,,,,,,,,,,,,,United States of America,USA,Technology,No,medium,5/11/23,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
Otis Worldwide,Northern America,Electrical Equipment and Machinery,Targets set,1.5C,2033,,,,,,"Otis Worldwide Corp commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2033 from a 2021 base year.* Otis Worldwide Corp also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, business travel, and use of sold products 33% within the same timeframe.
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Industrials,No,medium,4/30/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
Owens Corning,Northern America,Building Products,Targets set,1.5C,2030,,,,,,Owens Corning commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. Owens Corning also commits to reduce absolute scope 3 GHG emissions 30% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,10/15/19,,,,,,,,,,,,,,,,,,,,,,,,,
Owens Corning,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,3/5/24,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Owens Corning,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,4/14/23,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
PACCAR,Northern America,Electrical Equipment and Machinery,Targets set,Well-below 2C,2030,,,,,,PACCAR Inc commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2030 from a 2018 base year. PACCAR Inc commits to reduce scope 3 GHG emissions from use of sold products 25% per vkm by 2030 from a 2018 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,5/6/21,,,,,,,,,,,,,,,,,,,,,,,,,
PACCAR,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,Yes,large,3/5/24,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
PACCAR,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,Yes,large,4/26/23,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
Paramount Global,Northern America,Media,Committed,,,,,,Commitment removed,,,BA1.5 member,10/14/21 1:00,,Expired commitment,,,,,,10/14/21,,,,,,,,,,,,,,,,,,,,,,,,,
Paramount Global,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,3/25/24,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Pepsico,Northern America,Food and Beverage Processing,Targets set,1.5C,2030,,,,Committed,,PepsiCo commits to reduce absolute scope 1 and 2 GHG emissions 75% and scope 3 GHG emissions 40% by 2030 from a 2015 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,BA1.5 member,4/1/20 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,1/14/21,,,,,,,,,,,,,,,,,,,,,,,,,
Pepsico,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,large,4/5/24,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes
Pepsico,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,large,4/21/23,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Pfizer,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2030,,,,Commitment removed,,"Pfizer Inc. commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a 2019 base year. Pfizer Inc. commits to increase annual sourcing of renewable electricity from 9% in 2019 to 100% by 2030. Pfizer Inc. commits to reduce absolute scope 3 emissions 25% from business travel by 2025 from a 2019 base year. Pfizer Inc. commits to reduce absolute scope 3 emissions 10% from upstream transportation and distribution by 2025 from a 2019 base year. Pfizer Inc. also commits that 64% of its suppliers by spend covering purchased goods & services, will have science-based targets by 2025. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",BA1.5 member,6/3/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,,,,,,6/2/22,,,,,,,,,,,,,,,,,,,,,,,,,
Pfizer,Northern America,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,large,3/5/24,5,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Pfizer,Northern America,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,large,4/17/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No
PG&E Corporation,Northern America,"Electric Utilities and Independent Power Producers and Energy Traders (including Fossil, Alternative and Nuclear Energy)",Committed,,,,,,,,,,,,,,,,,,8/4/22,,,,,,,,,,,,,,,,,,,,,,,,,
Denso Corporation,Asia,,,,,,,,,,,,,,,Japan,JPN,Consumer Goods,No,large,4/29/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
